30/9-3,"OSEBERG SØR"
6407/1-2,TYRIHANS
6507/11-1,ÅSGARD
30/2-1,HULDRA
15/9-15,GUNGNE
1/3-3,TAMBAR
16/7-4,SIGYN
30/6-5,"OSEBERG ØST"
6407/9-1,DRAUGEN
7121/4-1,SNØHVIT
25/11-1,BALDER
2/4-2,EKOFISK
2/5-1,TOR
2/7-1,ELDFISK
35/8-1,VEGA
2/1-3,GYDA
2/8-6,VALHALL
2/11-2,HOD
7/12-2,ULA
15/6-3,"SLEIPNER VEST"
15/9-9,"SLEIPNER ØST"
25/4-1,HEIMDAL
30/6-1,OSEBERG
31/2-1,TROLL
31/4-3,BRAGE
33/9-7,"STATFJORD ØST"
33/9-8,"STATFJORD NORD"
33/12-1,STATFJORD
34/4-1,SNORRE
34/10-1,GULLFAKS
34/10-2,"GULLFAKS SØR"
15/12-4,VARG
6/3-1,GAUPE
6507/7-2,HEIDRUN
"6407/7-1 S",NJORD
"30/3-2 R",VESLEFRIKK
34/8-1,VISUND
34/7-8,VIGDIS
6407/6-3,MIKKEL
2/7-20,EMBLA
34/7-12,TORDIS
35/9-1,GJØA
1/2-1,BLANE
3/7-4,TRYM
25/5-3,SKIRNE
1/3-6,OSELVAR
35/11-4,FRAM
6507/3-1,ALVE
"25/4-6 S",VALE
6608/10-2,NORNE
6507/2-2,MARULK
25/11-15,GRANE
"15/9-19 SR",VOLVE
24/9-5,VOLUND
34/11-1,KVITEBJØRN
"25/8-5 S",JOTUN
"30/8-1 S",TUNE
"33/9-19 S",SYGNA
6406/2-3,KRISTIN
6305/5-1,"ORMEN LANGE"
6608/10-6,URD
6506/11-7,MORVIN
15/12-12,REV
24/6-2,ALVHEIM
6507/5-1,SKARV
"25/4-9 S",VILJE
"25/8-14 S","RINGHORNE ØST"
"34/10-48 S",GIMLE
1/3-K-5,"TAMBAR ØST"
6507/11-8,YTTERGRYTA
"34/8-14 S","VISUND SØR"
6608/10-12,SKULD
"6407/8-5 S",HYME
25/5-7,ATLA
